step,value,wall_time
4,0.43323540687561035,1758310305.2556226
5,0.4473242461681366,1758310640.8833437
6,0.44349145889282227,1758310976.1475146
7,0.4501331150531769,1758311308.2489476
8,0.44440311193466187,1758311646.084139
9,0.45190203189849854,1758311981.6373897
10,0.4501151144504547,1758312319.8380246
11,0.45346054434776306,1758312656.9064395
12,0.4546773433685303,1758312991.301587
13,0.45195212960243225,1758313330.2686756
14,0.4527558386325836,1758313667.0525289
15,0.45041781663894653,1758314008.7729125
16,0.4451858699321747,1758314343.0775237
17,0.44908082485198975,1758314675.0140634
18,0.4476381242275238,1758315013.1205423
19,0.4471578001976013,1758315349.8010502
20,0.4439098834991455,1758315686.9283655
21,0.4451473355293274,1758316023.6091187
22,0.44352588057518005,1758316362.1055117
23,0.4483374357223511,1758316699.7423115
24,0.4413057267665863,1758317039.985655
25,0.44476670026779175,1758317376.8283644
26,0.44611790776252747,1758317709.8785546
27,0.44455376267433167,1758318050.0843656
28,0.4435047209262848,1758318383.8913841
29,0.4406794607639313,1758318717.952622
30,0.44153541326522827,1758319057.159873
31,0.42634424567222595,1758319392.398998
32,0.3984003961086273,1758319729.9569104
33,0.3823665678501129,1758320064.8146555
34,0.334042489528656,1758320398.8660312
35,0.28320807218551636,1758320735.3912714
36,0.27381786704063416,1758321067.7120361
37,0.27220508456230164,1758321398.8849304
38,0.2762830853462219,1758321731.238911
39,0.26424339413642883,1758322062.6459315
40,0.26038870215415955,1758322396.764373
41,0.24240466952323914,1758322727.4382339
