step,value,wall_time
4,31.946102142333984,1758310305.2556226
5,30.449445724487305,1758310640.8833437
6,28.97797966003418,1758310976.1475146
7,27.713581085205078,1758311308.2489476
8,26.645959854125977,1758311646.084139
9,25.79738426208496,1758311981.6373897
10,25.104320526123047,1758312319.8380246
11,24.428760528564453,1758312656.9064395
12,23.872364044189453,1758312991.301587
13,23.471559524536133,1758313330.2686756
14,23.03459930419922,1758313667.051529
15,22.69257926940918,1758314008.7729125
16,22.429197311401367,1758314343.0775237
17,22.144245147705078,1758314675.0140634
18,21.865541458129883,1758315013.1205423
19,21.64728355407715,1758315349.8010502
20,21.440690994262695,1758315686.9273658
21,21.258548736572266,1758316023.6091187
22,21.04884147644043,1758316362.1045117
23,20.892019271850586,1758316699.7423115
24,20.67228889465332,1758317039.985655
25,20.594253540039062,1758317376.8283644
26,20.43994140625,1758317709.8785546
27,20.297163009643555,1758318050.0843656
28,20.182270050048828,1758318383.8913841
29,20.10433578491211,1758318717.952622
30,20.02487564086914,1758319057.159873
31,19.986400604248047,1758319392.398998
32,20.05263900756836,1758319729.9569104
33,20.09995460510254,1758320064.8146555
34,20.32889175415039,1758320398.8660312
35,20.734745025634766,1758320735.3912714
36,20.976449966430664,1758321067.7120361
37,21.074386596679688,1758321398.8839235
38,21.118408203125,1758321731.238911
39,21.207401275634766,1758322062.6459315
40,21.265474319458008,1758322396.764373
41,21.40243911743164,1758322727.4382339
