step,value,wall_time
4,0.5697423815727234,1758310305.2556226
5,0.559313178062439,1758310640.8833437
6,0.5474799871444702,1758310976.1475146
7,0.5376415252685547,1758311308.2489476
8,0.5302133560180664,1758311646.084139
9,0.5238579511642456,1758311981.638389
10,0.5174906253814697,1758312319.8380246
11,0.5132043957710266,1758312656.9064395
12,0.5087562799453735,1758312991.301587
13,0.5054990649223328,1758313330.2686756
14,0.5012932419776917,1758313667.0525289
15,0.49783480167388916,1758314008.7729125
16,0.49524423480033875,1758314343.0775237
17,0.4918802082538605,1758314675.0140634
18,0.48883453011512756,1758315013.1205423
19,0.48680809140205383,1758315349.8010502
20,0.48330605030059814,1758315686.9283655
21,0.48133379220962524,1758316023.6091187
22,0.4793737828731537,1758316362.1055117
23,0.47739437222480774,1758316699.7423115
24,0.4753474295139313,1758317039.985655
25,0.4739035964012146,1758317376.8283644
26,0.4714469611644745,1758317709.8785546
27,0.46968358755111694,1758318050.0843656
28,0.4682006239891052,1758318383.8913841
29,0.46655261516571045,1758318717.952622
30,0.46558016538619995,1758319057.159873
31,0.46447011828422546,1758319392.398998
32,0.4640439748764038,1758319729.9569104
33,0.4643484950065613,1758320064.8146555
34,0.4647488296031952,1758320398.86703
35,0.4671814739704132,1758320735.3922703
36,0.47105321288108826,1758321067.7120361
37,0.4727848172187805,1758321398.8849304
38,0.4728981852531433,1758321731.238911
39,0.4738921821117401,1758322062.6459315
40,0.4739791452884674,1758322396.764373
41,0.4747360050678253,1758322727.4392343
